coachella_sentiment,coachella_yn,name,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
positive,yes,samhughes88,2,"RT @RogerCraigSmith: Dig these guys much! Can't wait to see them at #Coachella2015!
Two dudes creating incredible sounds.
@royalblooduk 
ht…",,2015-01-07 14:50:12 -0800,552960419036688384,"Cheshire, UK ",London
positive,yes,kathy009,0,"“@NickDevLV: Officially official. #Coachella2015 http://t.co/cWBx8jb2n7”
Please someone get me to Coachella this year, so wanna go",,2015-01-07 14:48:32 -0800,552960001829244928,England,
positive,yes,McBased,0,See you there! #Coachella2015 @IDK_Chillin @gina__elizabeth @#TwiterlessNikki,,2015-01-07 14:47:00 -0800,552959616632770560,HTX-CCTX,Eastern Time (US & Canada)
positive,yes,TheExperiencexX,0,Son im really trynna go to #Coachella2015,,2015-01-07 14:41:33 -0800,552958242960445440,,Pacific Time (US & Canada)
positive,yes,lindsayjfig,0,I just want to go to #Coachella2015 😫🎡,,2015-01-07 14:35:27 -0800,552956708901748736,,Mountain Time (US & Canada)
positive,yes,carleystenson,1,So we got tickets to #Coachella2015 x what is it!? 😝😆🎶🎹🎷🎺🎸🎤🎵,,2015-01-07 14:34:18 -0800,552956418538872832,,
positive,yes,KROCSTEDY,0,Can't wait until #Coachella this year. This will be my first time ever goin. Chyyeah!!! #Coachella2015 🙌,,2015-01-07 14:30:38 -0800,552955497020932096,"From Long Beach, CA & beyond..",Alaska
positive,yes,edasemana,0,Just bought my #Coachella2015 tickets with @aylephant and Minh Do! I could already tell that 2015 is gonna be amazing!,"[37.4365235, -121.8783382]",2015-01-07 14:30:37 -0800,552955494227136512,California ,
positive,yes,happiiiiiiiii,1,"RT @EricHoang_: Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",,2015-01-07 14:30:14 -0800,552955395246161920,,
positive,yes,fucknambriz,0,"April can't come any sooner 😭😭😭 

#Coachella2015","[33.83198733, -117.95680471]",2015-01-07 14:29:26 -0800,552955196263772160,Anaheim CA,Pacific Time (US & Canada)
positive,yes,LuisaInStereo,0,Woot woot! #Coachella2015 🎉🎉,,2015-01-07 14:28:51 -0800,552955048494264320,,Pacific Time (US & Canada)
positive,yes,GregWRoss,0,"#coachella2015  What's the fuss about AC/DC heading the line-up? Leonard Cohen blew everyone away there a couple of years back, both great!",,2015-01-07 14:26:52 -0800,552954550840086528,Burswood,Perth
positive,yes,Hey_Julee,1,RT @TeamCamillaB: Hope to see @CamillaBelle in Coachella #Coachella2015!,,2015-01-07 14:26:04 -0800,552954348029108224,,Central Time (US & Canada)
positive,yes,rgrocks,0,Prayer to #Coachella gods for #Coachella2015 #Coachellatickets someone sell me weekend 1 for face value please. Car camping too! Amen,,2015-01-07 14:25:31 -0800,552954211160170496,San Francisco,Pacific Time (US & Canada)
positive,yes,_SydArmstrong,0,I see @nlapi is ready for #Coachella2015 #coachellaNICK,,2015-01-07 14:23:38 -0800,552953733764505600,Los Angeles,Central Time (US & Canada)
positive,yes,pascalpellan,0,Young DroCHELLA | #Coachella #Coachella2015 http://t.co/X0tIMlrjSH,,2015-01-07 14:22:42 -0800,552953499231993856,Paris,Paris
positive,yes,Wajohnston3Will,0,Got my tickets for #Coachella2015 stoked as fuck,,2015-01-07 14:21:31 -0800,552953201289216000,,
positive,yes,shermhasheart,0,"I can't wait for ""and you shook me all night long"" at #Coachella2015",,2015-01-07 14:18:04 -0800,552952334540869632,Bloomington,Quito
positive,yes,mickeyditch,0,So HAPPY to announce that me and @NicolaBott have twins!!!! (tickets) #Coachella2015 http://t.co/83miyTqiff,"[-33.87105558, 151.20334792]",2015-01-07 14:17:04 -0800,552952081485541376,Sydney,London
positive,yes,JahhKobe,0,Super pumped for ACDC and Steely Dan #kickinitoldschoool #Coachella2015,,2015-01-07 14:16:54 -0800,552952041295712256,"Ashland, Oregon",Pacific Time (US & Canada)
positive,yes,mebullard1,0,Just got news we're going to #Coachella2015,,2015-01-07 14:16:40 -0800,552951980810055680,,
positive,yes,_caitbate_,0,LOL NVM YA BISH IS GOING TO #COACHELLA2015 #HALLELUJAH!!! http://t.co/kcLTkfhiiN,,2015-01-07 14:14:25 -0800,552951416558747648,New York City,Eastern Time (US & Canada)
positive,yes,RaphNasty,0,"If I got a #Coachella2015 ticket, how much better does that make me than you? #KingOfTheWhitePeople",,2015-01-07 14:13:08 -0800,552951091554304000,"San Diego, CA/Los Angeles, CA",
positive,yes,ChandlerMader,0,"I just got a casual text from my dad asking a simple question w/ an emoji ""what weekend were you thinking 😘"" #Coachella2015¿¿¿ @maderlife 💃","[47.33337043, -122.34953378]",2015-01-07 14:11:34 -0800,552950698359283712,,Arizona
positive,yes,RiggsVida,0,When you find out Coachella is in 3 months are your getting ready to find celebrities #Coachella2015 🌚,,2015-01-07 14:11:04 -0800,552950570558824448,,
positive,yes,_taBz,0,ITS OFFICIAL @nycbritt #Coachella2015   💛🎉✨☀️👙🎶,,2015-01-07 14:09:38 -0800,552950209928380416,"Saskatoon, SK CANADA",Mountain Time (US & Canada)
positive,yes,ashley_sfg,0,Just realized I'm off of work for #Coachella2015 weekend #2. I'M TOTALLY GOING!,,2015-01-07 14:07:26 -0800,552949656225730560,bay area,Pacific Time (US & Canada)
positive,yes,Leetzle_,0,"“@czechmayte: @Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us 😭😭”

PLZZZ",,2015-01-07 14:01:52 -0800,552948258260021248,Bay Area,
positive,yes,CTooleSaysStuff,1,RT @_kendallwood: The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily,,2015-01-07 14:01:44 -0800,552948222105513984,,
positive,yes,czechmayte,0,@Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us 😭😭,,2015-01-07 14:01:24 -0800,552948139284389888,seein' stars *_*,
positive,yes,HannahhRay,1,RT @sierralkbabe: So psyched for #Coachella2015 with @HannahhRay 😍,,2015-01-07 14:00:45 -0800,552947974649552896,AR  / TX ,Central Time (US & Canada)
positive,yes,Kyra_IX,1,RT @Jammit08: See in the dessert @Kyra_IX @sammyslammr !!!!!! #Coachella2015 #RoundThree #Excited #ItsAllHappening,,2015-01-07 14:00:21 -0800,552947874380541952,Edmonton/Maskwacis,Mountain Time (US & Canada)
positive,yes,MicheleFin,0,Can't wait for #Coachella2015  👅🌀👅,"[42.36408252, -71.05697201]",2015-01-07 13:58:42 -0800,552947462164709376,Boston,Central Time (US & Canada)
positive,yes,_kendallwood,1,The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily,,2015-01-07 13:58:38 -0800,552947442111369216,Nueva York,Quito
positive,yes,Clumsy_Gabby,0,I need to go to #Coachella2015,,2015-01-07 13:57:43 -0800,552947212846510080,"Auckland,NZ",
positive,yes,EricHoang_,1,"Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",,2015-01-07 13:57:30 -0800,552947157095809024,"space city, texas",Central Time (US & Canada)
positive,yes,ccbella_rover,0,Don't wanna jinx it but I have an Instagram agreement for my Coachella trade! :-) #coachella2015 #instatrade,,2015-01-07 13:57:20 -0800,552947118181060608,,Pacific Time (US & Canada)
positive,yes,cristinaeromero,0,Your girl is going to #Coachella2015 😻,,2015-01-07 13:57:07 -0800,552947062082265088,,
positive,yes,kuliano,1,RT @MaxG718: the LATEST #Coachella2015 lineup is too poppin' http://t.co/HsQSggoomc http://t.co/yBIbpxnsdm,,2015-01-07 13:54:47 -0800,552946475156905984,New York City,Eastern Time (US & Canada)
positive,yes,atia1126,0,Putting it in my plans to go see my boo @Drake at #Coachella2015,,2015-01-07 13:54:26 -0800,552946388674568192,LA FL DMV ATL NYC,Quito
positive,yes,hannah_frog,1,RT @zzzach_scott: See you in 99 days #Coachella2015 @hannah_frog http://t.co/dib4iCsyWh,,2015-01-07 13:53:43 -0800,552946206318424064,Soccer•ΚΚΓ,Central Time (US & Canada)
positive,yes,joshua_aen,0,Got my weekend 2 pass for #coachella2015.  Pumped to be marking this #music festival off my… http://t.co/kkx94sYJV0,,2015-01-07 13:52:54 -0800,552946000327745536,"Denver, Colorado",Mountain Time (US & Canada)
positive,yes,BenjaminSimons,0,Still trying to find tickets for #Coachella2015 so hmu if you're selling!,,2015-01-07 13:52:44 -0800,552945960880316416,IV,Pacific Time (US & Canada)
positive,yes,LANGMarMendoza,0,"@RMSpuhler @mimi3000 @meiwen_liang You've been quoted in my #Storify story ""#Coachella2015 tickets sold out"" http://t.co/QP4TZWCIxL",,2015-01-07 13:51:46 -0800,552945715128066048,"Los Angeles, Calif.",Hawaii
positive,yes,ihoppermeredith,0,"If anyone has an extra Car Camping ticket, hit me up, our group needs one! #Coachella #Coachella2015 #Coachellatickets",,2015-01-07 13:51:41 -0800,552945696391712768,"Tempe, AZ",Pacific Time (US & Canada)
positive,yes,model_life2015,8,RT @Modelinia: The #Coachella2015 lineup has arrived! Here are 10 acts you MUST see at this year's festival: http://t.co/IWzxoxfiHj http://…,,2015-01-07 13:50:49 -0800,552945477759414272,,
positive,yes,_Belmarie,16,RT @OurFemaleRebel: Miley's getting ready for #Coachella2015 Bleach Blonde it is             💇💅👱 http://t.co/k1MvQpRJyL,,2015-01-07 13:49:43 -0800,552945200554070016,,
positive,yes,FKB__,2,RT @JSterns7: Looking to buy a weekend one @coachella pass #coachella #Coachella2015 @TexasEDMFamily,,2015-01-07 13:47:37 -0800,552944671773560832,,Eastern Time (US & Canada)
positive,yes,_jennster21,0,I regret buying #EDCLV tickets... I want to go to Coachella so so bad!!!! 😭😭😭 who wants two edc tickets!?! #insomniac #Coachella2015 💖💖💖🙏,,2015-01-07 13:47:17 -0800,552944587489038336,,
positive,yes,cruznkenga,0,Weekend 2 baby #Coachella2015 #wk2 #,,2015-01-07 13:46:41 -0800,552944437748191232,"Coachella, Ca",
positive,yes,isaafreak,0,#Coachella2015 week two YAAAAASSSSSSSS!!!! @xMusicalCells 🌻🌻😍😍😍😍😛😛😛😍,,2015-01-07 13:45:31 -0800,552944144360828928,,Alaska
positive,yes,Jammit08,1,See in the dessert @Kyra_IX @sammyslammr !!!!!! #Coachella2015 #RoundThree #Excited #ItsAllHappening,,2015-01-07 13:45:03 -0800,552944024546336768,Maskwacis Ab Canada,Arizona
positive,yes,ShayneOfficial,1,RT @sleazystfn: Guess is who is gonna wiggle wiggle at coachella! @chHELLOVENUS #Coachella2015 #Coachella #kpop #hellovenus http://t.co/19X…,,2015-01-07 13:44:52 -0800,552943979407237120,"Bay Area, California",Pacific Time (US & Canada)
positive,yes,LeManbun_Vinh,0,See y'all at Coachella 😘 #Coachella2015,"[32.85934729, -117.22100518]",2015-01-07 13:44:20 -0800,552943846724599808,San Diego,
positive,yes,_Kellavilla,1,RT @heyittsdreah: @_Kellavilla Soon 💕🌴⛺🎡 #Coachella2015,,2015-01-07 13:43:55 -0800,552943738453254144,,
positive,yes,MissGallo,0,Two words you never want to see...#Coachella2015 http://t.co/ziAviNDVfD,"[0.0, 0.0]",2015-01-07 13:42:31 -0800,552943386307461120,NYC | LA | SF,Quito
positive,yes,RavingGanja,4,RT @booyouwhores: so yeah I’m looking for a weekend 1 coachella ticket! please RT to help me find one thanks #Coachella2015 #coachellaforsa…,,2015-01-07 13:42:23 -0800,552943352828923904,Wonderland,
positive,yes,CachuWinkyface,0,"looking for two GA #Coachella #Coachella2015 tickets + car camping
#crychella2k15",,2015-01-07 13:42:13 -0800,552943313137827840,,Pacific Time (US & Canada)
positive,yes,vanneciaa,0,So #Coachella2015 is actually happening🙏,"[26.29515919, -80.19953947]",2015-01-07 13:39:45 -0800,552942692330524672,,Eastern Time (US & Canada)
positive,yes,silvertonguee,1,"RT @allison_huntley: Okay, here I fixed it #FifthHarmony #Coachella #Coachella2015 http://t.co/3tnGJqhqKt",,2015-01-07 13:37:28 -0800,552942117626974208,Los Angeles,Pacific Time (US & Canada)
positive,yes,kendall_paige,2,"RT @elithekidd: Looking for #coachella2015 passes 
✨Someone be my savior please ✨",,2015-01-07 13:33:52 -0800,552941209878921216,"San Luis Obispo, CA",Pacific Time (US & Canada)
positive,yes,Pimp_Down_,1,RT @nick_thaAnimal: If it comes down to it I'll go James Bond mode #Coachella2015,,2015-01-07 13:32:37 -0800,552940898145685504,"City of Festivals, Cali",Arizona
positive,yes,whitbarb912,0,I'm ready for #Coachella2015,,2015-01-07 13:32:01 -0800,552940743573008384,Los Angeles,Pacific Time (US & Canada)
positive,yes,lexander_tran,0,See y'all @ #Coachella2015 😎🎶 http://t.co/JJwPyNsetu,,2015-01-07 13:31:34 -0800,552940633938096128,,
positive,yes,elithekidd,2,"Looking for #coachella2015 passes 
✨Someone be my savior please ✨",,2015-01-07 13:31:32 -0800,552940625050361856,Los Angeles // Marina Del Rey ,
positive,yes,WaGaBakgatla,0,"I want to write an essay, but I won't. #Coachella2015 http://t.co/tQERsD99BZ",,2015-01-07 13:25:29 -0800,552939101524332544,Worldwide,Greenland
positive,yes,PK_Ike,0,@PK_Ike: Looking to buy a coachella car camping pass for weekend 2! Hmu #COACHELLA #Coachella2015 #carcamping,"[33.83427916, -118.34772251]",2015-01-07 13:25:26 -0800,552939087082954752,"ÜT: 33.7945952,-118.1414693",Pacific Time (US & Canada)
positive,yes,_jogayle,0,So want to go to #Coachella2015  especially with @Drake and @FKAtwigs announced!,,2015-01-07 13:25:08 -0800,552939014987460608,london,Casablanca
positive,yes,HollywoodIC,0,#Coachella2015 Whoa! The Weeknd &amp; Drake performing!!,,2015-01-07 13:24:41 -0800,552938901208580096,,Eastern Time (US & Canada)
positive,yes,RogerCraigSmith,2,"Dig these guys much! Can't wait to see them at #Coachella2015!
Two dudes creating incredible sounds.
@royalblooduk 
https://t.co/3tjZwbarUA",,2015-01-07 13:24:30 -0800,552938855632863232,Los Angeles,Pacific Time (US & Canada)
positive,yes,jngarland,0,got my #Coachella2015 Weekend 2 tickets! Can't wait to cross this off my bucket list!,,2015-01-07 13:22:56 -0800,552938460248436736,oakland california,Central Time (US & Canada)
positive,yes,Just_Twigs,0,Finally… #Coachella2015 Week 2 here we come.,,2015-01-07 13:22:41 -0800,552938395409055744,,Eastern Time (US & Canada)
positive,yes,aloh25,0,COACHELLA I'm coming for ya! 😎 #coachella2015 #hellyeah http://t.co/U7yqB9kvPu,,2015-01-07 13:22:18 -0800,552938298231226368,,
positive,yes,Jacob_Walter997,260,RT @kaskade: “@Forever21: The lineup is here! #Coachella2015 http://t.co/tNOrBbvUfz” Cue the flower headband display front + center!,,2015-01-07 13:20:23 -0800,552937817702006784,,Arizona
positive,yes,shkuhbr,0,IF YOURE SELLING #Coachella2015  WEEK 2 PASS HMU!!!!!!!,"[34.14791893, -117.46578989]",2015-01-07 13:19:43 -0800,552937651397857280,,
positive,yes,cee__mariee,4,RT @MonicaFulmer: FUCK ME DUDE I WANT TO GO SO BADDDDD #Coachella2015 http://t.co/bHIxOJirow,,2015-01-07 13:19:36 -0800,552937622645919744,Iowa,Central Time (US & Canada)
positive,yes,RyanCortezz,0,“@MyDesert: .@coachella festival passes sell out in 38 minutes http://t.co/GyrlxL4JMn #Coachella2015” @maddiepenaa 👀,,2015-01-07 13:19:32 -0800,552937603570221056,Coachella... The Velvet Rope,Pacific Time (US & Canada)
positive,yes,Ruth_in_dubai,0,Might as well plan ahead for April non? Happy early 40th birthday to moi! From moi! #coachella2015… http://t.co/NczeWEMG48,,2015-01-07 13:19:03 -0800,552937483546423296,"Dubai, UAE",Quito
positive,yes,cassieclauser,0,All I have to say is thank god for presale &amp; @EricaTabano #Coachella2015,,2015-01-07 13:18:46 -0800,552937409990496256,,Pacific Time (US & Canada)
positive,yes,Hanjcksn,0,I honestly just want to see Steely Dan... #Coachella2015,,2015-01-07 13:17:28 -0800,552937083556200448,,Central Time (US & Canada)
positive,yes,VickyOrdsmith,1,@katrina0801 @coachella way to start of the new year! #coachella2015,,2015-01-07 13:17:10 -0800,552937008469770240,Manchester,Amsterdam
positive,yes,maya_says_,0,dreaming of LaLa land with @mattyod tonight @coachella #Coachella2015,,2015-01-07 13:13:51 -0800,552936174508314624,toronto,
positive,yes,NotJack4,1,RT @JamesAppleg8: @Axwell @Ingrosso @SteveAngello  there should be an epic reunion at #Coachella2015,,2015-01-07 13:11:02 -0800,552935466572324864,Long Beach,Arizona
positive,yes,CatfoodBeerGlue,0,"Some people vacation in Hawaii every year, some go to Europe, and I choose to poo in a 110F port-a-potty for 4 days. #Coachella2015",,2015-01-07 13:10:37 -0800,552935361991548928,"Yay Area, CA",Pacific Time (US & Canada)
positive,yes,LANGMarMendoza,15,#Coachellatickets sold out in less than 40 mins. Did you get yours? #Coachella2015 @coachella http://t.co/th1y4k3v6y,,2015-01-07 13:07:49 -0800,552934653678465024,"Los Angeles, Calif.",Hawaii
positive,yes,AmandaGabrielle,0,I could cry of happiness 😩😩😩😩😩 #Coachella2015,,2015-01-07 13:07:35 -0800,552934594555953152,"Staten Island, NY",Central Time (US & Canada)
positive,yes,JustChelseaB,0,Great line up for #Coachella2015 who's going to Coachella this year??,,2015-01-07 13:07:27 -0800,552934564101107712,,Eastern Time (US & Canada)
positive,yes,JVR24_,0,"Artists that I didn't know that stuck out to me. ""&gt;"" are a must see for me. #Coachella2015 http://t.co/Z9g6iAFQgM",,2015-01-07 13:06:56 -0800,552934434605760512,90011,Alaska
positive,yes,JamesAppleg8,1,@Axwell @Ingrosso @SteveAngello  there should be an epic reunion at #Coachella2015,,2015-01-07 13:06:10 -0800,552934239134425088,,
positive,yes,Waltraud9141,1,RT @koufaxmusic: something for your ears while you wait on the standby page #Coachella #Coachella2015 https://t.co/3vhd4Ckuxf,,2015-01-07 13:05:44 -0800,552934129457954816,Mississippi,
positive,yes,jaclynLsmith,0,https://t.co/dot8qgvwDp @zayngos_mangos !!!! #Coachella2015 is calling our names!,,2015-01-07 13:05:17 -0800,552934016366940160,Pittsburgh / Scranton PA,Central Time (US & Canada)
positive,yes,mirandaevargas,0,Weekend 1 😜🎶 #Coachella2015 #camping,"[33.84938423, -117.57429832]",2015-01-07 13:05:06 -0800,552933971546615808,Southern California,Pacific Time (US & Canada)
positive,yes,camille_perich,1,Sold a part of my soul when I purchased my Coachella ticket but I really could care less #Coachella2015 😭😭,"[37.70626024, -121.95709504]",2015-01-07 13:04:53 -0800,552933917674598400,ⓟⓘ•ⓑⓔⓣⓐ•ⓟⓗⓘ•ⓢⓓⓢⓤ,Arizona
positive,yes,joyceekim,0,So no one ask me to hang out or do any fun things w them that require money until summer bc #Coachella2015 just left me 😲💀 #brokeaf,,2015-01-07 13:04:21 -0800,552933784815820800,,
positive,yes,caaiiit_,0,“@jaywoodzs: Honestly just got an adrenaline rush from fucking getting my tickets #coachella2015 @caaiiit_” God bless,"[33.75078394, -118.30769944]",2015-01-07 13:03:27 -0800,552933555215400960,,Pacific Time (US & Canada)
positive,yes,bradphillips004,0,Just got tickets to #Coachella2015! So freaking excited. Can we just cancel Jan/Feb/Mar and skip straight to April already?!?!,,2015-01-07 13:02:50 -0800,552933401636794368,"Melbourne, Australia",Melbourne
positive,yes,Aidansahota,0,Buzzing.... 😁😁😁😁😁.. Can Not wait For April 17th.. 💃👯👯🎧🎤🎼 #Coachella2015,,2015-01-07 13:02:29 -0800,552933314089455616,London,Casablanca
positive,yes,xMissTaylor,0,One day I will travel to the USA to go to Coachella 🇺🇸 #Coachella2015 #MakeItHappen,,2015-01-07 13:01:16 -0800,552933005036367872,Bristol ,London
positive,yes,simonepedretti1,0,The worst text you'll ever receive #Coachella2015 http://t.co/KEsCyT4xwU,,2015-01-07 13:01:15 -0800,552933003458908160,San Diego,
positive,yes,sierralkbabe,1,So psyched for #Coachella2015 with @HannahhRay 😍,,2015-01-07 13:01:13 -0800,552932994164326400,the last frontier,
positive,yes,itserikestrada,0,Wait. #Coachella2015 made me broke 💸,,2015-01-07 13:00:15 -0800,552932750047457280,"Los Angeles, CA",Pacific Time (US & Canada)
positive,yes,DrumsandBluntsS,0,Ya bitches .. #Coachella2015 http://t.co/UvzWoqxujo,,2015-01-07 13:00:02 -0800,552932697778036736,LA,
positive,yes,AmandaaaSimon,1,“@PipaVal: Iz happeninnn #Coachella2015 ✨ http://t.co/S1aHN99DoQ” CAN'T WAIT,,2015-01-07 12:59:16 -0800,552932502398959616,Miami,Atlantic Time (Canada)
positive,yes,BigSmokes5,0,@porterrobinson I BOUGHT MY COACHELLA TICKET TO SEE YOU PERFORM WORLDS LIVE. I gotta hear you sing lionhearted dude! #Worlds #Coachella2015,,2015-01-07 12:58:00 -0800,552932185569652736,,
positive,yes,thuymahp,0,Tickets are officially booked for Coachella! #STOKED #coachella2015 #happydance http://t.co/KEKnO9Hdoy,,2015-01-07 12:57:26 -0800,552932043731238912,,Central Time (US & Canada)
positive,yes,Lana_del_slaay,0,"If I don't get #Coachella  tickets, I WILL FUCKING DIE! #Coachella2015",,2015-01-07 12:56:11 -0800,552931728361549824,Planet Froot,Atlantic Time (Canada)
positive,yes,kaeaboy,0,Well I'm going bananas right now 😁🎡🌅🎶 #Coachella2015 http://t.co/Q3ybvSfZJj,,2015-01-07 12:56:01 -0800,552931685109465088,Maui | OC,Pacific Time (US & Canada)
positive,yes,JackkLangan,0,The new #Coachella line up! Would love to be going!😥🇺🇸🙈 #Coachella2015 http://t.co/fyTezrWjYe,,2015-01-07 12:55:45 -0800,552931619418697728,"Ireland, Co.Mayo!",Dublin
positive,yes,KatiaGarciaSan,0,Now I need an airplane ticket and a hotel #Coachella2015,,2015-01-07 12:55:20 -0800,552931511981584384,México,Mexico City
positive,yes,Jenna8515,0,Ahh 38 mins of staring @the comp screen waiting 2 purchase @coachella tix was worth it from #cantwait #Coachella2015 http://t.co/9XuUlTimuZ,,2015-01-07 12:55:13 -0800,552931484408250368,World Traveler ,Eastern Time (US & Canada)
positive,yes,xoSergio,0,Waited at 12 on the dot for Weekend 1 tickets and they sold out 50 mins later. #sosad #Coachella2015,,2015-01-07 12:55:09 -0800,552931467227959296,,Pacific Time (US & Canada)
positive,yes,TheeSweetestTea,0,"And THAT, my friends, is why you should always take advantage of presale #Coachella2015",,2015-01-07 12:54:54 -0800,552931403050934272,,Pacific Time (US & Canada)
positive,yes,JacqSpeer,0,😎Let the countdown begin!! brn_3ttt #coachella2015 #FLO #FINALLY @hanabolabola… http://t.co/qal0EBwZ8O,,2015-01-07 12:54:47 -0800,552931374601338880,"Fort Worth, Texas",Central Time (US & Canada)
positive,yes,honestlycarolyn,0,My blood pressure has never been higher #Coachella2015 #ticketprobs,,2015-01-07 12:54:25 -0800,552931281822949376,Southern California,Pacific Time (US & Canada)
positive,yes,amanda_cee,0,take me with youuuuuuu RT @PipaVal: Iz happeninnn #Coachella2015 ✨ http://t.co/UWYGvJ9HMs,,2015-01-07 12:54:20 -0800,552931263766867968,,Quito
positive,yes,MyMyshelly,0,Thinking about sneaking into #Coachella2015 just to see @MarinasDiamonds perform. 😆,,2015-01-07 12:51:57 -0800,552930663569952768,Los Angeles CA,Arizona
positive,yes,Rolfring,0,"Hell yea,Norwegian act @toddterjeolsen @ellenwoodEP: so what do you really really think about the lineup for #Coachella2015 ? worth going?”",,2015-01-07 12:51:09 -0800,552930461346181120,"Asker, Norway",
positive,yes,rodela_sandra,0,I want to go to coachella 😭 #Coachella2015,,2015-01-07 12:50:03 -0800,552930186019094528,,
positive,yes,PipaVal,0,Iz happeninnn #Coachella2015 ✨ http://t.co/P91OiHk9dB,,2015-01-07 12:49:48 -0800,552930120055672832,"Miami, FL",Quito
positive,yes,BrookeNicholexo,0,lol call me the ticketmaster cause I literally got all my friends through🙌 #Coachella2015 #chipotle,,2015-01-07 12:49:21 -0800,552930007744806912,Vegas. Bilbao. Reno ,
positive,yes,VMTEvents,2,".@coachella passes sold out fast, but you can still get Travel Packages with TICKETS at http://t.co/E5vwXga6a4 #Coachella #Coachella2015",,2015-01-07 12:49:08 -0800,552929953906696192,,Eastern Time (US & Canada)
positive,yes,IsabelsWild,0,i got my coachella ticket!! VIP doe #Coachella2015 #Coachella2015,,2015-01-07 12:49:00 -0800,552929918753832960,,Pacific Time (US & Canada)
positive,yes,ZoeColaso,0,Conversations with Darlene😂 #Coachella2015 #Drake #need http://t.co/ITcNJiEYE2,"[34.41225069, -119.69820988]",2015-01-07 12:48:59 -0800,552929914752471040,California grown ,Pacific Time (US & Canada)
positive,yes,dajaaaaaah,0,SOOOOOO EXCITED !!!!!!! #coachella2015 #coachella and we barely decided to go less than 24 hours ago 😱 http://t.co/chYlUj6VxT,,2015-01-07 12:48:05 -0800,552929688830898176,,
positive,yes,jetaimenicole,0,Weekend One TURN UP #Coachella2015 #BackToBack ✨🍄🎶🌻🚌👅,"[35.06229209, -106.52064138]",2015-01-07 12:47:09 -0800,552929454754787328,Desert child ,Mountain Time (US & Canada)
positive,yes,ofi37,0,MY BODY IS READY! #COACHELLA2015 ✨😚 http://t.co/Vx95EI0pih,,2015-01-07 12:47:01 -0800,552929419317489664,"Mexicali, BC. Mex.",Pacific Time (US & Canada)
positive,yes,LAWeeklyMusic,1,"Holy crap! That didn't take long. RT @TheScenestar SOLD OUT #Coachella #Coachella2015 RT ""@coachella: Thank you. """,,2015-01-07 12:46:12 -0800,552929215062884352,Los Angeles,Pacific Time (US & Canada)
